;Samples;counts;HNA;LNA;volume;dilution
1;110D2-1015-2_rep1.fcs;100871;50021;50850;50,087;2
2;110D2-1015-2_rep2.fcs;101026;50106;50920;50,174;2
3;110D2-1015-2_rep3.fcs;100464;49484;50980;50,209;2
4;110D2-115-2_rep1.fcs;3115;675;2440;50,139;10
5;110D2-115-2_rep2.fcs;3101;719;2382;50,135;10
6;110D2-115-2_rep3.fcs;3116;710;2406;50,14;10
7;110D2-415-2_rep1.fcs;19757;3765;15992;50,083;2
8;110D2-415-2_rep2.fcs;20114;3953;16161;50,18;2
9;110D2-415-2_rep3.fcs;20222;3950;16272;50,098;2
10;110D2-515_rep1.fcs;31725;9253;22472;50,103;2
11;110D2-515_rep2.fcs;31973;9229;22744;50,21;2
12;110D2-515_rep3.fcs;31136;8768;22368;50,052;2
13;110D2-715-2_rep1.fcs;13760;3346;10414;50,133;2
14;110D2-715-2_rep2.fcs;13600;3278;10322;50,132;2
15;110D2-715-2_rep3.fcs;13419;3229;10190;50,009;2
16;110D2-815_rep1.fcs;13638;3194;10444;50,102;2
17;110D2-815_rep2.fcs;13820;3340;10480;50,117;2
18;110D2-815_rep3.fcs;13717;3370;10347;50,047;2
19;110D2-915-2_rep1.fcs;3636;957;2679;50,124;10
20;110D2-915-2_rep2.fcs;3506;916;2590;50,164;10
21;110D2-915-2_rep3.fcs;3871;982;2889;50,176;10
22;110M2-1015-1_rep1.fcs;24001;5654;18347;50,066;2
23;110M2-1015-1_rep2.fcs;23897;5783;18114;50,211;2
24;110M2-1015-1_rep3.fcs;24047;5893;18154;50,166;2
25;110M2-115-2_rep1.fcs;9727;2452;7275;50,155;10
26;110M2-115-2_rep2.fcs;10474;2725;7749;50,126;10
27;110M2-115-2_rep3.fcs;10413;2775;7638;50,137;10
28;110M2-415-2_rep1.fcs;28908;7871;21037;50,031;2
29;110M2-415-2_rep2.fcs;29069;7936;21133;50,21;2
30;110M2-415-2_rep3.fcs;28776;7888;20888;50,041;2
31;110M2-515_rep1.fcs;32719;9329;23390;50,102;2
32;110M2-515_rep2.fcs;30530;8397;22133;50,023;2
33;110M2-515_rep3.fcs;29656;8029;21627;50,089;2
34;110M2-715-2_rep1.fcs;27703;8438;19265;50,004;2
35;110M2-715-2_rep2.fcs;26291;7909;18382;50,062;2
36;110M2-715-2_rep3.fcs;24768;7229;17539;50,039;2
37;110M2-815_rep1.fcs;59351;19101;40250;50,119;2
38;110M2-815_rep2.fcs;59988;19448;40540;50,114;2
