"";"Sample_names";"D0";"D1";"D2";"sd.D0";"sd.D1";"sd.D2";"counts";"volume";"dilution"
"1";"110D2-1015-2_rep1.fcs";14324,07;3421,95301412128;2161,72816000698;240,004724490535;48,4225994396042;29,2893211891111;100871;50,087;2
"2";"110D2-1015-2_rep2.fcs";14417,31;3415,40487126577;2138,64854593577;225,945005152881;43,7263319394921;25,7843461274988;101026;50,174;2
"3";"110D2-1015-2_rep3.fcs";14230,96;3399,91151982838;2147,91797769175;207,512439447019;39,9818612087787;24,0855372336118;100464;50,209;2
"4";"110D2-115-2_rep1.fcs";12577,77;3442,44900001771;2127,5405721413;248,521927776723;51,4555730583075;34,8709013940279;3115;50,139;10
"5";"110D2-115-2_rep2.fcs";12101,59;3282,74494216728;2087,39248863651;344,812233928361;84,9946843445801;55,8493055753737;3101;50,135;10
"6";"110D2-115-2_rep3.fcs";11798,66;3167,62423556834;1983,82126398942;340,648022380162;76,2663665493282;44,1492833891722;3116;50,14;10
"7";"110D2-415-2_rep1.fcs";12653,78;3064,83076986331;1932,81032713528;152,998684882445;18,6646416591886;12,582151920576;19757;50,083;2
"8";"110D2-415-2_rep2.fcs";12295,53;3019,90377898539;1909,55122105335;195,894346652743;28,6594771925526;18,0120377863545;20114;50,18;2
"9";"110D2-415-2_rep3.fcs";12450,01;3023,44932443227;1904,90381025809;172,436988637894;22,7324957728493;14,3972912829081;20222;50,098;2
"10";"110D2-515_rep1.fcs";13709,14;3345,89525782344;2142,72393181789;175,471659917901;24,952042225957;16,1969295107286;31725;50,103;2
"11";"110D2-515_rep2.fcs";13983,14;3371,04259914617;2155,84661028327;182,139363891466;18,3904869472037;11,4818559741731;31973;50,21;2
"12";"110D2-515_rep3.fcs";13745,93;3378,48381570058;2160,98301888889;183,397303164689;17,6433814901656;10,5908901563051;31136;50,052;2
"13";"110D2-715-2_rep1.fcs";13836,19;3270,94706795541;2046,8260168987;284,913975853;54,4269357660579;33,0423038171739;13760;50,133;2
"14";"110D2-715-2_rep2.fcs";13824,49;3354,77124655099;2084,47038107603;202,429461214707;27,5374579435935;18,3941698128447;13600;50,132;2
"15";"110D2-715-2_rep3.fcs";13577,14;3347,54811532648;2096,50234595992;199,951560800777;27,3826482094205;17,0772597237333;13419;50,009;2
"16";"110D2-815_rep1.fcs";13694,29;3316,43793733924;2071,61457363471;231,166400996111;43,0421467984357;26,74420034388;13638;50,102;2
"17";"110D2-815_rep2.fcs";14081,8;3420,05243267646;2148,62833721148;195,45843547926;28,5196174614194;17,9523655989576;13820;50,117;2
"18";"110D2-815_rep3.fcs";14060,41;3448,28304519916;2163,3455666808;204,109650418444;28,3343303038931;18,4610788285269;13717;50,047;2
"19";"110D2-915-2_rep1.fcs";13360,53;3455,67481376352;2164,71866111616;336,877145577021;72,0131621617239;44,0783152051676;3636;50,124;10
"20";"110D2-915-2_rep2.fcs";13873,76;3646,36029413171;2253,64044688594;269,583334316894;62,4601328030517;39,1634915804517;3506;50,164;10
"21";"110D2-915-2_rep3.fcs";13142,44;3478,22934171878;2183,65263489045;289,256424633783;47,6731841655101;28,9321372729336;3871;50,176;10
"22";"110M2-1015-1_rep1.fcs";11946,85;3010,90403840727;1939,83359967541;150,022447815268;20,2919970394141;13,6066914211249;24001;50,066;2
"23";"110M2-1015-1_rep2.fcs";12575,5;3097,04588946431;1989,03405452896;160,516873464028;19,7830194774079;12,7319461333331;23897;50,211;2
"24";"110M2-1015-1_rep3.fcs";12636,96;3068,28776995542;1968,72493043495;203,586822617365;28,2023009754142;18,9754712255351;24047;50,166;2
"25";"110M2-115-2_rep1.fcs";13859,65;3327,41803873319;2087,19408238543;248,698485859257;45,7523984100443;29,6884999851598;9727;50,155;10
"26";"110M2-115-2_rep2.fcs";13918,78;3329,32696774002;2080,01143030642;209,894518000992;29,3331370092117;17,6260789773321;10474;50,126;10
"27";"110M2-115-2_rep3.fcs";13484,53;3368,73171600007;2116,51665390966;185,274432268798;29,7878022505415;19,7726064786417;10413;50,137;10
"28";"110M2-415-2_rep1.fcs";13841,86;3405,53179278241;2137,68953003345;183,935266390712;24,64531623188;14,6806532702611;28908;50,031;2
"29";"110M2-415-2_rep2.fcs";14326,75;3468,91116448688;2175,14719426418;181,482134524352;19,2653004290939;11,5592160267546;29069;50,21;2
"30";"110M2-415-2_rep3.fcs";13526,3;3362,25554583738;2112,88587179435;351,259853738632;80,6336150810814;48,5062753287216;28776;50,041;2
"31";"110M2-515_rep1.fcs";14721,52;3263,95830171809;2076,94255908168;264,450315357969;36,4155795185275;20,0469839767141;32719;50,102;2
"32";"110M2-515_rep2.fcs";13913,14;3281,39278260348;2105,74738757398;180,775211718081;18,7156335933595;11,5103487977706;30530;50,023;2
"33";"110M2-515_rep3.fcs";13837,28;3211,11503416925;2068,35175647469;195,370928226181;19,4389221123394;12,3981753302199;29656;50,089;2
"34";"110M2-715-2_rep1.fcs";13973,39;3574,90640379476;2277,16438960587;175,917674444094;27,3229256061897;18,0699666361548;27703;50,004;2
"35";"110M2-715-2_rep2.fcs";13663,09;3450,9633125048;2208,75832811718;189,625047092541;27,5786117333212;18,6271378100029;26291;50,062;2
"36";"110M2-715-2_rep3.fcs";13179,24;3397,46781650798;2197,84450374637;202,439921004138;18,0424529635382;12,0011753103777;24768;50,039;2
"37";"110M2-815_rep1.fcs";13470,51;3211,98210754459;2064,45908685554;183,483602052669;29,7585644242179;18,7057219601329;59351;50,119;2
"38";"110M2-815_rep2.fcs";13208,2;3210,13564671907;2069,43460056793;240,033373100534;49,4019171768317;31,2667666347352;59988;50,114;2
"39";"110M2-815_rep3.fcs";13590,17;3293,46683844063;2111,8253050212;172,311618994205;18,6788158003192;10,8025864699705;60872;50,186;2
"40";"110S2-1015-2_rep1.fcs";13382,93;3198,10463667234;2011,8381919096;169,907476604358;22,5090946500518;14,1033910798134;35430;50,021;2
"41";"110S2-1015-2_rep2.fcs";13924,69;3263,29755237327;2048,02627338937;175,27932657114;25,9802051704946;15,290799651598;35594;50,201;2
"42";"110S2-1015-2_rep3.fcs";13741,69;3282,33343234485;2056,71738744695;176,993619413614;17,2468642313008;10,1628240035544;34713;50,062;2
"43";"110S2_115_2_rep1.fcs";12990,8;3153,73069898014;1975,91952378079;284,929160077775;54,303140271044;34,0932586696045;8210;50,155;10
"44";"110S2_115_2_rep2.fcs";13585,72;3293,83240861341;2062,75331590504;284,440264805151;62,8236324019888;39,4509601313987;10571;50,15;10
"45";"110S2_115_2_rep3.fcs";13065,61;3150,77191464073;1968,86438752939;264,295705793738;58,3259229934537;35,6286916573129;10791;50,144;10
"46";"110S2-415-2_rep1.fcs";13514,67;3299,45791011171;2106,39444919151;195,22760894128;21,0052065573738;12,4500291582373;27321;50,148;2
"47";"110S2-415-2_rep2.fcs";13370,87;3286,53228937787;2089,30924839603;181,429266902804;21,8864351784978;13,4028165721571;27088;50,018;2
"48";"110S2-415-2_rep3.fcs";13353,32;3220,64976530877;2052,93987690767;192,361606030797;19,2847443549399;11,5335485115797;25615;50,059;2
"49";"110S2-515_rep1.fcs";15068,17;3860,76648637863;2389,6829651523;163,964522831845;22,5072219683444;15,3061628164803;24567;50,013;2
"50";"110S2-515_rep2.fcs";15060,78;3912,92506357051;2442,09961774271;193,08226016887;35,5030473353919;23,705125604463;24419;50,006;2
"51";"110S2-515_rep3.fcs";14598,7;3845,53531655183;2394,46266814374;194,000702904069;40,4696361169351;26,0063802959548;24284;50,022;2
"52";"110S2-715-2_rep1.fcs";14351,5;3422,98928260769;2135,57373987098;180,011475504011;22,9894110867863;13,39787471297;28769;50,057;2
"53";"110S2-715-2_rep2.fcs";14063,46;3312,31693357179;2067,41042994258;242,166168011333;45,4354624782874;28,8841895351875;28055;50,209;2
"54";"110S2-715-2_rep3.fcs";14226,04;3342,75377825872;2074,21244733949;159,339414109908;28,9484902753503;17,051141261433;28565;50,086;2
"55";"110S2-815_rep1.fcs";13627,37;3343,22493494434;2119,05733196825;275,120456814058;51,8399508976635;32,0250423043219;36420;50,192;2
"56";"110S2-815_rep2.fcs";14090,47;3440,44229288273;2172,35751196575;283,117581134543;53,8812041141331;33,6082044081573;37023;50,067;2
"57";"110S2-815_rep3.fcs";13333,13;3274,85522062565;2066,08108410238;464,697461155148;102,253913574409;61,5664207585174;37347;50,021;2
"58";"110S2_915_2_rep1.fcs";12844,33;3227,22390618978;2001,71009631016;268,840685615895;59,5878518910578;36,9608742359193;6390;50,146;10
"59";"110S2_915_2_rep2.fcs";13367,25;3355,75211730169;2066,48387080413;243,741433415897;41,3616136412541;26,7445214649017;6529;50,115;10
"60";"110S2_915_2_rep3.fcs";11701,13;3183,76835888666;2101,51372959631;224,297586192356;43,6462802631047;29,7884006473132;16400;50,115;10
"61";"M45D2-1015-1_rep1.fcs";14585,01;3094,83886270534;1894,59635115024;206,994827193455;26,004069380519;15,1111023621733;22763;50,054;2
"62";"M45D2-1015-1_rep2.fcs";14759,06;3148,24540503863;1924,89795431617;155,387025445394;20,9604553108838;13,072213775895;22907;50,055;2
"63";"M45D2-1015-1_rep3.fcs";15073,15;3168,72413767217;1942,44721724004;204,075663082657;24,0805228419385;13,5159826582236;23574;50,044;2
"64";"M45D2-115-2_rep1.fcs";13863,74;3240,24183324754;1996,87348702807;259,696116896871;50,15199918119;32,1721806027936;8322;50,139;10
"65";"M45D2-115-2_rep2.fcs";13865,65;3320,06056210579;2033,68270930682;215,399997889761;34,3943105006929;22,084772514636;8354;50,139;10
"66";"M45D2-115-2_rep3.fcs";13386,14;3253,9641149544;2022,29038416275;256,071526466077;47,1940758274211;29,4395215842988;8111;50,139;10
"67";"M45D2-415-2_rep1.fcs";13784,98;3312,26070092621;2104,50941277453;197,08260996728;18,0136129054137;11,1246017382653;27949;50,023;2
"68";"M45D2-415-2_rep2.fcs";13579,65;3309,56460866959;2108,8589082038;162,666503663604;17,3790371353896;11,8529963366993;28492;50,033;2
"69";"M45D2-415-2_rep3.fcs";13520,95;3252,34185612959;2067,96875014328;190,062104416829;26,5887054818977;17,5160114733973;28118;50,041;2
"70";"M45D2-515_rep1.fcs";14973,19;3320,65397564199;2020,45258282626;218,917986349854;43,5172671391606;25,8156259762766;43087;50,021;2
"71";"M45D2-515_rep2.fcs";15526,4;3421,50063524325;2065,93156929098;147,335869990504;21,891858614782;12,9639265793867;41835;50,019;2
"72";"M45D2-515_rep3.fcs";15413,96;3360,19279911786;2042,02316174518;153,632640681687;23,8347719976505;14,5448689155553;42335;50,182;2
"73";"M45D2-715-2_rep1.fcs";13537,03;3259,18168141166;2022,86272206988;174,674962502508;23,8552658066117;13,7127288604096;16669;50,035;2
"74";"M45D2-715-2_rep2.fcs";13857;3255,62726453276;2018,7111466292;181,081319976536;20,8389673912967;12,2526991621524;16798;50,015;2
"75";"M45D2-715-2_rep3.fcs";13446,03;3264,13841738328;2022,94578687715;220,500553378907;27,4539994542032;16,682436231381;15849;50,038;2
"76";"M45D2-815_rep1.fcs";13782,12;3335,46620066888;2127,29003123231;175,398552220969;32,2311544576349;20,106875876613;19467;50,215;2
