;Sample_names;D0;D1;D2;sd.D0;sd.D1;sd.D2;counts;volume;dilution;HNA_counts
1;110D2-1015-2_rep1.fcs;14324,07;3421,953014;2161,72816;240,0047245;48,42259944;29,28932119;100871;50,087;2;50021
2;110D2-1015-2_rep2.fcs;14417,31;3415,404871;2138,648546;225,9450052;43,72633194;25,78434613;101026;50,174;2;50106
3;110D2-1015-2_rep3.fcs;14230,96;3399,91152;2147,917978;207,5124394;39,98186121;24,08553723;100464;50,209;2;49484
4;110D2-115-2_rep1.fcs;12577,77;3442,449;2127,540572;248,5219278;51,45557306;34,87090139;3115;50,139;10;675
5;110D2-115-2_rep2.fcs;12101,59;3282,744942;2087,392489;344,8122339;84,99468434;55,84930558;3101;50,135;10;719
6;110D2-115-2_rep3.fcs;11798,66;3167,624236;1983,821264;340,6480224;76,26636655;44,14928339;3116;50,14;10;710
7;110D2-415-2_rep1.fcs;12653,78;3064,83077;1932,810327;152,9986849;18,66464166;12,58215192;19757;50,083;2;3765
8;110D2-415-2_rep2.fcs;12295,53;3019,903779;1909,551221;195,8943467;28,65947719;18,01203779;20114;50,18;2;3953
9;110D2-415-2_rep3.fcs;12450,01;3023,449324;1904,90381;172,4369886;22,73249577;14,39729128;20222;50,098;2;3950
10;110D2-515_rep1.fcs;13709,14;3345,895258;2142,723932;175,4716599;24,95204223;16,19692951;31725;50,103;2;9253
11;110D2-515_rep2.fcs;13983,14;3371,042599;2155,84661;182,1393639;18,39048695;11,48185597;31973;50,21;2;9229
12;110D2-515_rep3.fcs;13745,93;3378,483816;2160,983019;183,3973032;17,64338149;10,59089016;31136;50,052;2;8768
13;110D2-715-2_rep1.fcs;13836,19;3270,947068;2046,826017;284,9139759;54,42693577;33,04230382;13760;50,133;2;3346
14;110D2-715-2_rep2.fcs;13824,49;3354,771247;2084,470381;202,4294612;27,53745794;18,39416981;13600;50,132;2;3278
