"";"Sample_fcm";"Sample_seq";"D0.fcm";"D1.fcm";"D2.fcm";"sd.D0.fcm";"sd.D1.fcm";"sd.D2.fcm";"D0";"sd.D0";"D0.bre";"sd.D0.bre";"D0.chao";"sd.D0.chao";"D1";"sd.D1";"D2";"sd.D2"
"1";"CYCLUS1_BEKKEN_-3_B_SYBR_PRECYCLE";6;7829,57666666667;1804,11159785855;1075,50914829761;64,4509290537556;10,4639067707392;6,36916219189833;255,3333333;5,686240703;NA;NA;1074,644737;153,652727;6,624994179;0,019170667;3,623041555;0,021351392
"2";"CYCLUS1_BEKKEN_-7_A_SYBR_PRECYCLE";1;8397,01333333333;1851,70891001104;1097,6579855686;77,2946314105538;10,675147654129;6,15161650135174;452;7,810249676;NA;NA;2261,408333;265,256376;8,441041202;0,063257918;5,107370078;0,006899362
"3";"CYCLUS1_BEKKEN_0_6h_SYBR_START";12;7976,46;1769,8399638784;1042,3313530716;77,3144424273781;15,4888234739962;9,42031923884849;316,3333333;5,131601439;NA;NA;1357,267442;182,6421664;6,109915439;0,05993403;3,020573793;0,017003222
"4";"CYCLUS1_BEKKEN_1_A_SYBR_OPERATION";14;8503,29666666667;1740,78369848839;1048,80399868093;57,8001317479344;7,81501146619246;4,75390127920547;224;5,291502622;NA;NA;918,05;126,0618105;5,620997271;0,03082703;3,263879319;0,018926966
"5";"CYCLUS1_BEKKEN_1_B_SYBR_OPERATION";15;7735,09;1607,39096779894;960,759446794032;135,791362006243;27,3867866739362;16,3477432026456;411,3333333;7,094598885;NA;NA;1635,507937;180,5180099;6,948854878;0,052539362;3,152668727;0,017512359
"6";"CYCLUS1_BEKKEN_14_A_SYBR_OPERATION";27;10383,19;2275,05612312302;1284,83063181205;187,742457230413;34,138553363503;19,8631808789909;354;5,291502622;NA;NA;1304,5;158,4408568;9,535877113;0,21469512;4,370061092;0,058175675
"7";"CYCLUS1_BEKKEN_19_A_SYBR_OPERATION";31;6745,25333333333;1483,48016265153;844,996680276598;71,3430021138533;10,1638237556918;5,53317957734316;199,3333333;4,725815626;NA;NA;829,7794118;124,868123;2,656051649;0,045344092;1,421122233;0,01105321
"8";"CYCLUS1_BEKKEN_2_A_SYBR_OPERATION";16;7753,37333333333;1626,84331216348;987,507970464791;78,3590712068746;14,4077115917971;8,81321893373301;272;5,567764363;NA;NA;1253,375;168,4821369;4,760199976;0,11150232;2,556188465;0,033423235
"9";"CYCLUS1_BEKKEN_2_B_SYBR_OPERATION";17;7771,05333333333;1621,67626355951;988,692594598232;110,656954768366;22,1116716175697;13,5916582592408;312,3333333;3,511884584;NA;NA;1542,260417;203,0268227;4,394586799;0,04775646;2,547636696;0,002790633
"10";"CYCLUS1_BEKKEN_23_A_SYBR_POSTCYCLE";36;7602,17333333333;1700,88528058583;954,69096628443;112,877844047305;24,3481879046454;13,7769867814485;309,6666667;2,081665999;NA;NA;1298,532609;167,5003556;4,66993703;0,080506389;2,214302623;0,024920176
"11";"CYCLUS1_BEKKEN_24_A_SYBR_POSTCYCLE";91;7675,15;1695,36138453839;958,178876288218;64,5270298943082;8,45349677245301;4,56138714794507;418;12,16552506;NA;NA;2123,056604;266,4697584;5,259775664;0,031983056;2,193764672;0,013593954
"12";"CYCLUS1_BEKKEN_25_A_SYBR_POSTCYCLE";37;7671,69;1688,87384091776;933,502611275313;89,7750186469708;17,6493187228871;10,2477635661523;302;6,557438524;NA;NA;1415,636364;192,1479364;4,737553954;0,08797188;2,071661704;0,010710626
"13";"CYCLUS1_BEKKEN_26_A_SYBR_POSTCYCLE";38;7638,60333333333;1705,83544446754;955,273636508165;98,9832580590376;18,3044033807117;10,1757822576438;293,6666667;4,041451884;NA;NA;1098,509091;127,9148765;5,838811494;0,033803103;2,427940007;0,028239582
"14";"CYCLUS1_BEKKEN_3_A_SYBR_OPERATION";18;7702,24666666667;1595,93703135397;971,129391305426;50,4191582154196;6,26920181695672;3,62930087494454;165,6666667;0,577350269;NA;NA;673,4;107,4179315;4,074354457;0,04332351;2,629902577;0,015103959
"15";"CYCLUS1_BEKKEN_3_B_SYBR_OPERATION";19;7442,02666666667;1593,12769742154;973,424284232425;49,4964062453114;5,43572108241683;3,12557732265151;191;5;NA;NA;793,0166667;128,1109242;4,193886195;0,017088641;2,599256765;0,004407471
"16";"CYCLUS1_BEKKEN_4_A_SYBR_OPERATION";20;8285,93;1731,33547298297;1047,51557509361;153,215300017236;31,1044502609326;18,8683115257687;211,6666667;8,082903769;NA;NA;689,5789474;92,49130653;4,872154071;0,101962175;2,785760435;0,035006243
"17";"CYCLUS1_BEKKEN_4_B_SYBR_OPERATION";21;9339,31333333333;1980,60833795493;1229,85088013382;104,536454421557;18,4355699610401;11,4046052773549;186;5,291502622;NA;NA;1114,568182;219,7185705;4,978542525;0,062331312;3,091647121;0,023929165
"18";"CYCLUS1_BEKKEN_6_A_SYBR_OPERATION";23;9538,9;2141,78367263835;1215,16762254037;146,542881571127;28,503457662194;15,9607655266891;478,6666667;11,01514109;NA;NA;2378,389831;281,1911453;5,999296362;0,05126076;2,560865312;0,018021912
"19";"CYCLUS2_BEKKEN_-1_B_SYBR_PRECYCLE";42;10152,99;2282,90400887102;1323,58230392932;113,171343481509;13,9975444478358;8,51792173201616;724,3333333;21,07921567;NA;NA;3013,019608;261,2013344;24,995772;0,348148222;9,544952929;0,039419059
"20";"CYCLUS2_BEKKEN_-4_B_SYBR_PRECYCLE";41;9387,68;2142,4223081729;1251,07437616205;99,2687794444486;12,0576484846856;7,20571934928916;531,3333333;16,2583312;NA;NA;2209,054217;212,9127381;20,35442065;0,327310888;8,646198368;0,10725685
"21";"CYCLUS2_BEKKEN_-6_B_SYBR_PRECYCLE";40;9772,29666666667;2193,59790661542;1244,73417882323;122,466423397224;19,5303453896281;11,4588052028285;545,3333333;8,96288644;NA;NA;2253,076923;223,0962107;26,7823531;0,129438791;10,91863031;0,080790434
"22";"CYCLUS2_BEKKEN_-7_B_SYBR_PRECYCLE";39;9991,03;2254,11360204276;1267,03681931082;102,979157284456;12,89942457689;7,5494199699989;430,6666667;3,511884584;NA;NA;1363,104478;133,7884737;22,7709536;0,403371755;10,34144442;0,100363
"23";"CYCLUS2_BEKKEN_0_0h_SYBR_START";43;10963,9;2489,25826024071;1437,58043914024;199,994133303405;39,691757145268;23,6317957771101;542;8,544003745;NA;NA;2507,882353;272,2568377;28,18525456;0,389268537;10,67375155;0,079236704
