Sample;size_mm;weight_g;Treatment
Q1;22,27;0,22244;T
Q1;22,39;0,22244;T
Q1;19,91;0,22244;T
Q1;25,05;0,22244;T
Q1;24,09;0,22244;T
Q1;24,13;0,22244;T
Q1;24,53;0,22244;T
Q1;24,85;0,22244;T
Q1;22,63;0,22244;T
Q1;22,20;0,22244;T
Q1;18,95;0,22244;T
Q1;20,24;0,22244;T
Q1;20,04;0,22244;T
Q1;18,65;0,22244;T
Q1;27,36;0,22043;T
Q2;20,36;0,22043;T
Q2;22,97;0,22043;T
Q2;24,30;0,22043;T
Q2;21,26;0,22043;T
Q2;22,35;0,22043;T
Q2;22,96;0,22043;T
Q2;22,31;0,22043;T
Q2;29,72;0,22043;T
Q2;24,92;0,22043;T
Q2;21,04;0,22043;T
Q2;20,46;0,22043;T
Q2;25,00;0,22043;T
Q2;21,50;0,22043;T
Q2;18,68;0,22043;T
Q2;19,67;0,22043;T
Q3;23,72;0,23185;T
Q3;24,07;0,23185;T
Q3;23,82;0,23185;T
Q3;22,82;0,23185;T
Q3;21,68;0,23185;T
Q3;23,43;0,23185;T
Q3;21,46;0,23185;T
Q3;22,30;0,23185;T
Q3;24,16;0,23185;T
Q3;21,95;0,23185;T
Q3;19,59;0,23185;T
Q3;24,42;0,23185;T
Q3;24,37;0,23185;T
Q3;22,82;0,23185;T
Q3;27,12;0,23185;T
Q1;21,28;0,22071;S
Q1;17,93;0,22071;S
Q1;19,80;0,22071;S
Q1;20,60;0,22071;S
Q1;20,61;0,22071;S
Q1;22,96;0,22071;S
Q1;22,88;0,22071;S
Q1;24,19;0,22071;S
Q1;21,27;0,22071;S
Q1;21,70;0,22071;S
Q1;23,13;0,22071;S
Q1;21,83;0,22071;S
Q1;21,97;0,22071;S
Q1;26,03;0,22071;S
Q1;23,02;0,2406;S
Q2;20,78;0,2406;S
Q2;24,45;0,2406;S
Q2;22,18;0,2406;S
Q2;19,88;0,2406;S
Q2;25,83;0,2406;S
Q2;22,32;0,2406;S
Q2;23,42;0,2406;S
Q2;18,84;0,2406;S
Q2;22,95;0,2406;S
Q2;22,00;0,2406;S
Q2;21,38;0,2406;S
Q2;21,07;0,2406;S
Q2;24,32;0,2406;S
Q2;22,02;0,2406;S
Q2;27,25;0,2406;S
Q3;24,72;0,26435;S
Q3;21,53;0,26435;S
Q3;22,38;0,26435;S
Q3;25,23;0,26435;S
Q3;24,00;0,26435;S
Q3;30,24;0,26435;S
Q3;25,25;0,26435;S
Q3;24,85;0,26435;S
Q3;22,70;0,26435;S
Q3;19,24;0,26435;S
Q3;19,29;0,26435;S
Q3;24,38;0,26435;S
Q3;24,22;0,26435;S
Q3;23,85;0,26435;S
Q3;23,58;0,26435;S
