Sample;D0;sd.D0;D0.bre;sd.D0.bre;D0.chao;sd.D0.chao;D1;sd.D1;D2;sd.D2
110D2F115;401,43;7,411777415;NA;NA;672,6;38,90953611;41,65846781;0,484511886;15,72110332;0,245060117
110D2F415;224,95;5,562092114;NA;NA;447,7272727;47,74859028;31,62751685;0,521842395;14,05487174;0,226079423
110D2F515;336,02;6,567412663;NA;NA;521,5614035;31,44063259;40,24349018;0,456474301;14,38546323;0,216064213
110D2F615;316,31;6,463096484;NA;NA;554,6764706;41,84013183;45,3990735;0,466650803;21,25554976;0,272947389
110D2F715;378,39;7,234729652;NA;NA;579,028169;30,83341492;36,68742247;0,492062429;12,30161949;0,170451569
110D2F815;429,06;7,070810677;NA;NA;638,5058824;29,56303395;63,84413778;0,726734871;23,91821763;0,422220591
110D2F915;369,99;6,395223912;NA;NA;592,8017241;37,11537704;60,55506725;0,764132503;23,05769447;0,444156987
110D2P115;239,21;5,479613273;NA;NA;453,6153846;43,04052774;5,275070759;0,130555609;1,738785388;0,019436854
110D2P415;473,88;7,414536637;NA;NA;707,1488095;32,70576945;30,79441536;0,441838499;10,97802211;0,123351092
110D2P515;459,21;7,860263187;NA;NA;762,0441176;38,66666194;25,58835254;0,359905622;8,019921143;0,102651041
110D2P615;541,4;9,059845919;NA;NA;878;40,29888336;35,43533793;0,561590515;13,93875419;0,167444708
110D2P715;87,15;3,089163203;NA;NA;165,0357143;25,86740304;17,764589;1,086693767;5,873648717;0,397616857
110D2P815;275,84;4,806813346;NA;NA;393,5142857;25,20701647;96,22665372;1,509543088;52,13388501;1,098639802
110D2P915;164,5;4,471006485;NA;NA;249,3787879;19,00341265;70,53169746;2,202159292;40,48779959;1,610443616
110D2W115D;362,61;7,150467951;NA;NA;600,3223684;35,01769166;31,73921722;0,492150419;10,04969452;0,186454705
110D2W115R;652,21;11,52537385;NA;NA;1282,989209;67,57178093;37,6320567;0,548983705;8,507957448;0,134015639
110D2W415D;396,17;6,397687398;NA;NA;644,7777778;37,50811526;47,39412479;0,564118575;18,63361598;0,262146838
110D2W415R;564,99;10,04584944;NA;NA;1151,446429;69,53196891;45,37548463;0,665616847;13,71100359;0,212195758
110D2W515D;474,34;7,610757936;NA;NA;878,025;56,59996694;53,43237405;0,591601676;21,08185285;0,287454475
110D2W515R;579,61;8,575152029;NA;NA;1138,952174;65,74428825;52,34464111;0,617238461;15,38910337;0,25746924
110D2W615D;259,95;5,746101006;NA;NA;408;26,72077843;39,04155844;0,643792788;16,70617159;0,324087799
110D2W615R;582,28;9,263897559;NA;NA;1300,64876;81,30591719;44,71137203;0,508968197;14,82343863;0,180954157
110D2W715D;379,11;6,59644073;NA;NA;579,28125;32,17437939;49,86776347;0,709653176;18,68079334;0,272572418
110D2W715R;547,4;8,773237542;NA;NA;929,324;44,22941112;37,91207785;0,488962297;9,166720697;0,118942302
110D2W815D;615,51;8,365990556;NA;NA;1073,504065;52,70328652;62,700086;0,61299077;21,14462366;0,288058683
110D2W815R;458,22;7,893969057;NA;NA;907,9712644;60,46311622;72,28066956;1,056742188;29,29386108;0,470896293
110D2W915D;425,77;8,603329165;NA;NA;789,7266667;52,61410052;63,62910385;0,707183773;24,43235985;0,396888488
110D2W915R;565,89;9,29743638;NA;NA;1152,878505;71,00287219;71,64846619;0,776578014;29,10552346;0,416782762
110M2F115;385,75;6,252878125;NA;NA;573,1176471;29,44316317;49,28426859;0,670656226;18,79714894;0,306746822
110M2F415;350,78;7,580650541;NA;NA;658,5818182;51,75884519;40,02387018;0,560484198;14,42022644;0,224067133
110M2F515;371,54;7,496019146;NA;NA;668,5714286;49,67533074;43,03272735;0,490249082;16,0438542;0,219511853
110M2F615;279,11;5,408364267;NA;NA;426,1904762;28,97406303;40,31580533;0,493363528;17,12524591;0,242985384
110M2F715;353;6,223124033;NA;NA;563,8979592;38,12323291;56,31882211;0,544008441;25,60054902;0,320239989
110M2F815;1,5;0,502518908;NA;NA;NA;NA;1,5;0,502518908;1,5;0,502518908
110M2F915;540,85;8,01308904;NA;NA;931,7107843;49,24243037;49,37245451;0,583611487;19,68290859;0,231403544
110M2P115;566,59;7,181760005;NA;NA;955,3529412;48,91495172;39,5958279;0,740923011;7,021154388;0,128555478
110M2P415;521,38;9,048444255;NA;NA;879,3465347;45,55154394;30,87051173;0,431745783;9,477363898;0,113141512
110M2P515;492,18;7,717721965;NA;NA;786,4308511;39,0515142;35,98084137;0,377031169;11,42491456;0,139914343
110M2P615;374,1;6,775624762;NA;NA;588,6136364;33,7320127;30,62856619;0,341333705;14,3537091;0,142568522
110M2P715;428,88;8,182612756;NA;NA;754,2564103;46,77142217;44,94426036;0,58080881;21,79335656;0,224038139
110M2P815;467,58;6,1417268;NA;NA;692,2951807;31,86269291;72,67254153;1,067585008;31,6405226;0,5412849
110M2P915;468,76;7,830424992;NA;NA;811,0344828;55,83095682;58,81215448;1,076974528;14,98826969;0,317347942
110M2W115D;288,66;4,778360312;NA;NA;418,1415094;22,95954745;49,50661629;1,471834411;11,43176791;0,445360417
110M2W115R;829,03;11,0503485;NA;NA;1553,444444;72,09189465;62,53805923;0,709645472;24,3667659;0,225085476
110M2W415D;442,27;7,30414992;NA;NA;786,0535714;47,81773466;47,70956729;0,476587012;18,94187251;0,234548938
110M2W415R;441,88;7,874367058;NA;NA;820,4821429;52,38612735;45,29569178;0,610022125;12,78653078;0,218838821
110M2W515D;428,64;7,609828838;NA;NA;756,6643836;48,28628915;53,83136118;0,49881715;22,95943378;0,276840735
110M2W515R;561,18;10,1168726;NA;NA;1052,00885;58,56428228;59,60875231;0,94497082;17,10829878;0,378476729
110M2W615C;1;0;NA;NA;NA;NA;1;0;1;0
110M2W615D;338,05;6,259336461;NA;NA;571,4083333;38,29714598;53,54249533;0,619985252;24,52415367;0,362481497
110M2W615R;607,27;9,426863613;NA;NA;1215,665138;72,84417519;52,06474085;0,515841725;19,02355187;0,229421479
110M2W715D;525,15;8,554489636;NA;NA;954,4450549;56,69170437;60,53314168;0,61302499;25,15525121;0,311095601
110M2W715R;316,03;6,147110679;NA;NA;475,0350877;27,4748945;49,1711378;0,740139363;21,70670254;0,333065077
110M2W815C;1,47;0,501613558;NA;NA;NA;NA;1,47;0,501613558;1,47;0,501613558
110M2W815D;418,59;6,596746979;NA;NA;628,625;30,25163025;67,22055238;0,826294915;29,22612999;0,473672491
110M2W815R;628,51;9,527731984;NA;NA;1149,938053;61,90153423;87,34740937;0,830807097;36,36152707;0,524056399
110M2W915C;2,33;0,603943271;NA;NA;NA;NA;2,187800455;0,574974395;2,076666667;0,541136104
110M2W915D;511,98;7,63693841;NA;NA;895,4863014;56,01639166;62,23406402;0,793984292;22,25020716;0,309599939
110M2W915R;701,55;10,43050596;NA;NA;1450,429752;84,61942925;86,89066027;1,068525763;34,77426873;0,463704997
110S2F115;478,2;7,237668021;NA;NA;856,0974026;54,39596434;54,63703676;0,662397929;22,15294213;0,303584869
110S2F415;336,66;6,028920201;NA;NA;518,4298246;31,03329773;41,25739124;0,522362002;15,54839455;0,224075998
110S2F515;284,79;5,103563817;NA;NA;433,4594595;31,07709505;43,82377781;0,542875361;17,56141132;0,286465176
110S2F615;472,25;7,73862802;NA;NA;851,2891566;52,70348443;66,53365547;0,55523711;31,16860822;0,379711928
110S2F715;320,73;5,708145872;NA;NA;519,9387755;36,1562115;62,62518049;0,802104875;28,35257233;0,509642156
110S2F815D;578,8;9,179467646;NA;NA;1153,005;71,54180317;66,9125373;0,757800921;25,52151089;0,374640576
110S2F815R;588,13;9,515171299;NA;NA;1218,389423;76,8972335;60,57814355;0,95682962;17,99138807;0,370853261
110S2F915;390,91;6,84768633;NA;NA;667,1842105;40,41372471;57,02375844;0,660269492;26,92479985;0,330876774
110S2P115;624,85;8,628558408;NA;NA;1012,929752;45,25419867;71,11936714;0,862613767;20,9435241;0,338274155
110S2P415;679,56;9,071344604;NA;NA;1102,175;46,02638068;31,09792531;0,31309682;9,818198402;0,072373142
110S2P515;688,55;9,479776454;NA;NA;1272,338028;62,19229121;49,07256329;0,57401984;15,09613099;0,193137083
110S2P615;521,63;9,075057392;NA;NA;1068,13587;71,07959816;63,97781263;0,7665833;28,10463875;0,367233605
110S2P715;450,92;7,206450534;NA;NA;810,9726027;52,94737995;62,59645397;0,747327188;25,25467174;0,388068201
110S2P815;637,02;9,44733408;NA;NA;1130,00885;58,56428228;63,83319679;0,775485408;14,77247353;0,258965644
110S2P915;655,99;8,434530997;NA;NA;1198,893519;65,51199132;88,60376136;1,014412923;32,40039147;0,497306811
110S2W115D;515,98;7,032363857;NA;NA;840,7977528;43,8150957;71,70420241;0,865061515;27,8569266;0,434068804
110S2W115R;697,21;10,05569842;NA;NA;1276,83;60,41708637;78,05012759;0,976023839;31,18982196;0,386336941
110S2W415D;520,85;8,549765193;NA;NA;1023,795181;68,61507503;43,91182681;0,480374981;16,81476431;0,184154095
110S2W415R;478,72;7,978607762;NA;NA;947,1602564;65,79478936;44,49423147;0,678556087;12,32094332;0,243918936
110S2W515D;444,57;8,113158037;NA;NA;778,6722222;44,98978851;53,64358351;0,626483046;21,63375623;0,288114665
110S2W515R;617,83;8,754860122;NA;NA;1246,572072;74,29363758;50,60139422;0,584702244;15,82796316;0,228081147
110S2W615D;341,89;7,357940808;NA;NA;578,3223684;35,01769166;61,97445148;1,185291521;23,88202048;0,62434556
110S2W615R;909,74;11,867637;NA;NA;1835,296569;81,92313332;89,25466049;0,896360042;38,10005656;0,431742764
110S2W715D;506,41;8,373955536;NA;NA;963,7951807;62,52703579;66,2257698;0,816259742;23,23011476;0,442265659
110S2W715R;570,89;9,300695097;NA;NA;1186,313725;75,82301224;62,28583171;0,668894394;20,72085676;0,347435153
110S2W815D;400,04;7,704019678;NA;NA;721,0211268;48,11686192;49,89706547;0,697042715;18,61282878;0,2973155
110S2W815R;773,17;10,69792296;NA;NA;1598,842105;83,61837338;59,65027196;0,64962227;21,01029778;0,246739744
110S2W915D;472,77;7,703934453;NA;NA;734,2117647;36,43328607;91,17752998;1,39446043;41,7587984;0,770153775
