Sample;D0;sd.D0;D0.bre;sd.D0.bre;D0.chao;sd.D0.chao;D1;sd.D1;D2;sd.D2
1;452;7,810249676;NA;NA;2261,408333;265,256376;8,441041202;0,063257918;5,107370078;0,006899362
12;316,3333333;5,131601439;NA;NA;1357,267442;182,6421664;6,109915439;0,05993403;3,020573793;0,017003222
14;224;5,291502622;NA;NA;918,05;126,0618105;5,620997271;0,03082703;3,263879319;0,018926966
15;411,3333333;7,094598885;NA;NA;1635,507937;180,5180099;6,948854878;0,052539362;3,152668727;0,017512359
16;272;5,567764363;NA;NA;1253,375;168,4821369;4,760199976;0,11150232;2,556188465;0,033423235
17;312,3333333;3,511884584;NA;NA;1542,260417;203,0268227;4,394586799;0,04775646;2,547636696;0,002790633
18;165,6666667;0,577350269;NA;NA;673,4;107,4179315;4,074354457;0,04332351;2,629902577;0,015103959
19;191;5;NA;NA;793,0166667;128,1109242;4,193886195;0,017088641;2,599256765;0,004407471
20;211,6666667;8,082903769;NA;NA;689,5789474;92,49130653;4,872154071;0,101962175;2,785760435;0,035006243
21;186;5,291502622;NA;NA;1114,568182;219,7185705;4,978542525;0,062331312;3,091647121;0,023929165
23;478,6666667;11,01514109;NA;NA;2378,389831;281,1911453;5,999296362;0,05126076;2,560865312;0,018021912
27;354;5,291502622;NA;NA;1304,5;158,4408568;9,535877113;0,21469512;4,370061092;0,058175675
31;199,3333333;4,725815626;NA;NA;829,7794118;124,868123;2,656051649;0,045344092;1,421122233;0,01105321
32;292,6666667;7,094598885;NA;NA;977,2264151;111,1863127;2,800029663;0,083370068;1,443562287;0,017493729
34;265,3333333;9,865765725;NA;NA;943,1666667;115,3147891;2,349872719;0,047167507;1,323255081;0,006813001
35;298;12,489996;NA;NA;1029,069231;108,7184778;2,316716216;0,033089342;1,314529737;0,005208364
36;309,6666667;2,081665999;NA;NA;1298,532609;167,5003556;4,66993703;0,080506389;2,214302623;0,024920176
37;302;6,557438524;NA;NA;1415,636364;192,1479364;4,737553954;0,08797188;2,071661704;0,010710626
38;293,6666667;4,041451884;NA;NA;1098,509091;127,9148765;5,838811494;0,033803103;2,427940007;0,028239582
39;430,6666667;3,511884584;NA;NA;1363,104478;133,7884737;22,7709536;0,403371755;10,34144442;0,100363
40;545,3333333;8,96288644;NA;NA;2253,076923;223,0962107;26,7823531;0,129438791;10,91863031;0,080790434
41;531,3333333;16,2583312;NA;NA;2209,054217;212,9127381;20,35442065;0,327310888;8,646198368;0,10725685
