Sample;D0;sd.D0;D0.bre;sd.D0.bre;D0.chao;sd.D0.chao;D1;sd.D1;D2;sd.D2
110D2F115;334,31;5,518920623;NA;NA;528;30,62678566;35,85587798;0,446600217;13,57302909;0,226264888
110D2F515;210,1;4,14753182;NA;NA;280,4852941;15,70389961;37,78557037;0,418421278;18,49135938;0,298738673
110D2F715;256,59;4,911530445;NA;NA;408,8823529;32,93687565;36,66449354;0,484377052;14,00765037;0,241245927
110D2F815;352,44;4,746758596;NA;NA;469,0211268;18,12732706;53,06974916;0,588101656;20,95154582;0,374618843
110D2F915;317,45;6,067590672;NA;NA;511,75;36,21765799;53,04560703;0,662424015;21,02009691;0,395705707
110M2F115;232,66;4,281083597;NA;NA;290,8947368;12,16286128;30,52014246;0,423881496;12,01544157;0,178918886
110M2F415;221,04;4,737386229;NA;NA;333,6666667;26,17427349;37,53482632;0,480791143;16,17562421;0,260959988
110M2F515;220,36;4,171863426;NA;NA;303,0666667;19,4329655;36,73149627;0,540424447;15,83906019;0,28259004
110M2F715;214,22;3,799468331;NA;NA;289,4166667;17,88870557;36,70827233;0,487772328;17,5327963;0,299174604
110S2F115;231,8;4,218765198;NA;NA;342,0322581;25,2475575;28,86320713;0,392916089;11,6327862;0,199238654
110S2F415;228,22;4,22732812;NA;NA;326,0151515;22,00866987;37,46474554;0,441821099;16,41405325;0,254885226
110S2F515;199,08;3,724556783;NA;NA;284,5;23,88121647;37,71498323;0,447434896;16,60429401;0,297472301
Fa13.BD.MLB.DN.1;1125,68;13,68910206;NA;NA;4024,765306;277,8234693;107,7300828;1,17838843;40,92535647;0,433207597
Fa13.BD.MLB.SN.1;968,84;13,83796564;NA;NA;3647,308696;287,5953497;77,28596251;0,827848557;28,07301896;0,317708998
Fa13.BD.MM110.DN.1;524,3;7,311952302;NA;NA;872,7402597;49,85187233;42,25428625;0,47333093;13,7550365;0,153467084
Fa13.BD.MM110.SD.1;376,79;7,300608803;NA;NA;852,3461538;80,00545061;24,28570479;0,243183309;11,04407817;0,100859204
Fa13.BD.MM110.SN.1;372,77;7,383923295;NA;NA;804,4056604;72,39214789;23,41050738;0,228034744;10,59534333;0,098608518
Fa13.BD.MM15.DN.1;584,28;11,78261002;NA;NA;2108,607143;210,3518339;35,60546525;0,351014794;13,28516641;0,155250924
Fa13.BD.MM15.SD.1;468,6;8,730533902;NA;NA;1231,195652;109,8324019;24,12671781;0,262277023;9,717896237;0,088403135
Fa13.BD.MM15.SN.1;596,92;10,35889312;NA;NA;1693,408602;136,243304;31,69498039;0,347902647;12,06471119;0,121664076
M15S2F115;266,18;5,384939717;NA;NA;387,2676056;18,95760042;25,66852047;0,375466575;9,735916521;0,159886536
M15S2F515;321,14;6,451090269;NA;NA;450,266129;21,43481267;51,219758;0,681721856;24,50565491;0,37791014
M15S2F815;247,89;4,873956765;NA;NA;440,0625;42,10589474;34,94802956;0,491531234;13,50342353;0,246991513
M15S2F915;227,94;4,830082501;NA;NA;303,7619048;15,18977422;27,7742978;0,44734933;12,107236;0,205935054
M45D2F115;312,47;5,783038592;NA;NA;492,0081967;29,60077238;32,30150695;0,343693254;13,42598205;0,193460701
