Sample;D0;sd.D0;D0.bre;sd.D0.bre;D0.chao;sd.D0.chao;D1;sd.D1;D2;sd.D2
110D2W115D;287,79;6,554041085;NA;NA;462,3272727;30,172802;26,9258925;0,432611855;8,433876698;0,149289228
110D2W415D;271,09;6,020327519;NA;NA;451,3676471;38,61325179;37,62671287;0,579707298;15,37630489;0,260758856
110D2W515D;268,81;6,102979898;NA;NA;426,7051282;31,97922044;42,38452439;0,517227103;18,95734818;0,311778608
110D2W715D;257,27;4,687949305;NA;NA;374;23,66431913;45,20066577;0,549920574;19,60878452;0,318801685
110D2W815D;506,45;7,541635275;NA;NA;839,2731959;43,35707532;52,45064108;0,466750014;19,00067732;0,218204362
110D2W915D;348,59;7,311392798;NA;NA;638,7358491;49,68321756;54,02907105;0,659988643;21,75295223;0,362073341
110M2W415D;293,42;5,041604683;NA;NA;403,3934426;18,29131698;37,24794995;0,438220615;15,00920662;0,240863502
110M2W515D;264,82;5,673578672;NA;NA;408,0957447;26,9523743;41,22969183;0,455112299;19,77550502;0,27327028
110M2W715D;289,9;5,741044849;NA;NA;437,0408163;27,03757456;37,98472548;0,408937451;16,200939;0,243146477
110M2W815D;269,54;4,944990323;NA;NA;370,6363636;19,75581589;50,63091347;0,769094984;20,97753938;0,385394758
110S2W115D;298,46;5,578494058;NA;NA;414,8617021;21,92186833;40,01276383;0,589171962;15,99892989;0,256153088
110S2W415D;324,57;6,15006775;NA;NA;594,7619048;51,63063469;35,96015128;0,379360852;14,66529077;0,188193145
110S2W515D;287,46;5,788215126;NA;NA;457,1454545;29,35473078;41,96820468;0,456636952;18,08522014;0,28453416
110S2W715D;232,33;4,707730586;NA;NA;356,2666667;28,62112921;34,30597507;0,518926608;11,57078441;0,2314031
110S2W815D;232,83;4,621108792;NA;NA;356,0116279;24,08919007;28,79055789;0,466664051;10,95333542;0,202974209
M15S2W115D;318,96;6,427403453;NA;NA;524,9396552;34,54802535;32,53326397;0,66785292;9,668306079;0,198286366
M15S2W515D;410,49;6,219056734;NA;NA;689,0860215;37,31183212;58,17359762;0,960863361;22,513751;0,44715377
M15S2W715D;311,82;6,01912776;NA;NA;492,0079365;29,32912644;36,22836698;0,612852392;13,43180803;0,283670678
M15S2W815D;273,63;5,302286528;NA;NA;450,69;32,10830924;38,07624932;0,597455572;14,81365189;0,266975943
M15S2W915D;399,48;7,076037241;NA;NA;621,7352941;34,51143423;38,9603138;0,33892543;16,63082152;0,162089694
M45D2W415D;200,94;4,732906511;NA;NA;407,1296296;48,76225116;29,88362382;0,466490914;12,69567941;0,25217037
M45D2W515D;276,22;6,201303219;NA;NA;469,4;36,59768056;36,68359363;0,572813789;16,00613268;0,31416646
M45D2W715D;323,23;6,253653478;NA;NA;543;32,61901286;29,93234804;0,396317049;11,3336245;0,204593761
M45D2W815D;327,32;5,555741411;NA;NA;543,4;37,07980582;43,07009993;0,5427774;18,63990808;0,289153429
M45D2W915D;249,22;5,283058496;NA;NA;469,2234043;40,47551695;32,37815984;0,534387828;14,6209955;0,29532062
M45S2W415D;352,23;6,628458693;NA;NA;551,4266667;29,73879667;41,46659577;0,378949739;18,88083331;0,221499796
M45S2W515D;327,72;6,437076945;NA;NA;626,5377358;51,2881515;39,47347083;0,521929829;16,46633809;0,269553012
M45S2W715D;222,78;4,542904335;NA;NA;364,2142857;30,14826095;36,98861804;0,607613872;13,54729907;0,287188521
M45S2W815D;321,55;5,924397425;NA;NA;511,877193;32,26246558;39,14106627;0,522368061;15,25342063;0,230433862
M45S2W915D;277,28;5,651637825;NA;NA;447,297619;33,54914593;47,76952675;0,780188342;19,81377137;0,377032347
MLBD2W115D;703,46;11,75028046;NA;NA;1540,123494;81,63290033;83,73544179;1,531964388;33,28601932;0,554087666
MLBD2W415D;697,24;11,37525224;NA;NA;1480,391892;73,26777407;105,1659306;1,802112083;44,50984631;0,853815778
MLBD2W515D;1211,76;17,30540874;NA;NA;2681,924615;103,3748712;75,68260158;0,82390399;32,42803022;0,305823496
MLBD2W715D;744,5;11,19929651;NA;NA;1381,503289;65,55619084;84,78729826;1,184879779;26,94015704;0,442178836
MLBD2W915D;835,4;10,24152766;NA;NA;1476,045213;59,96876153;109,2959998;1,439074582;37,15308116;0,607451337
MLBS2W115D;864,66;12,62610731;NA;NA;1897,283582;91,36187922;77,09648266;1,091183272;29,10216788;0,385756176
MLBS2W515D;588;9,524025972;NA;NA;1249,942177;69,22690206;72,7649587;0,937155304;33,32398546;0,497127702
MLBS2W715D;486,29;7,760681788;NA;NA;800,7272727;40,8499215;58,43097046;0,709119227;21,59351001;0,334731235
MLBS2W815D;609,66;8,835442858;NA;NA;1077,236301;49,93879588;85,67222215;1,373558656;27,64311547;0,580289363
MLBS2W915D;633,34;9,561306702;NA;NA;1114,10687;53,64834201;102,8252121;1,304690419;44,10715062;0,636550922
